,accuracy,precision,recall,f1,loss
1034,0.96875,0.9499999999952501,0.999999999994737,0.9743589743040106,0.06042352691292763
1035,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.0710415169596672
1036,0.96875,0.8888888888790123,0.9999999999875,0.9411764705273357,0.03877370059490204
1037,1.0,0.999999999994737,0.999999999994737,0.9999999999447371,0.0036516296677291393
1038,1.0,0.9999999999928572,0.9999999999928572,0.9999999999428573,0.0007195562357082963
1039,1.0,0.99999999999,0.99999999999,0.99999999994,0.00199338560923934
1040,1.0,0.999999999990909,0.999999999990909,0.999999999940909,0.02347930707037449
1041,1.0,0.9999999999928572,0.9999999999928572,0.9999999999428573,0.005442927125841379
1042,0.9375,0.9333333333271111,0.9333333333271111,0.9333333332771111,0.1693473756313324
1043,0.96875,0.9166666666590277,0.999999999990909,0.9565217390722117,0.13080614805221558
1044,0.96875,0.9999999999916667,0.9230769230698225,0.9599999999424,0.12070054560899734
1045,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.007137727458029985
1046,1.0,0.999999999990909,0.999999999990909,0.999999999940909,0.0344209223985672
1047,0.96875,0.941176470582699,0.9999999999937501,0.9696969696411387,0.02440900169312954
1048,1.0,0.999999999994737,0.999999999994737,0.9999999999447371,0.01119315903633833
1049,0.96875,0.9285714285647959,0.9999999999923077,0.9629629629058984,0.12299410253763199
1050,1.0,0.9999999999916667,0.9999999999916667,0.9999999999416667,0.0015939465956762433
1051,1.0,0.9999999999937501,0.9999999999937501,0.9999999999437501,0.03747522458434105
1052,1.0,0.9999999999944446,0.9999999999944446,0.9999999999444447,0.006675350945442915
1053,1.0,0.9999999999928572,0.9999999999928572,0.9999999999428573,0.027539363130927086
1054,1.0,0.9999999999888889,0.9999999999888889,0.9999999999388889,0.004671256057918072
1055,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.004702729173004627
1056,1.0,0.9999999999928572,0.9999999999928572,0.9999999999428573,0.0047449651174247265
1057,1.0,0.9999999999916667,0.9999999999916667,0.9999999999416667,0.0021675811149179935
1058,1.0,0.999999999990909,0.999999999990909,0.999999999940909,0.0019013050477951765
1059,1.0,0.9999999999916667,0.9999999999916667,0.9999999999416667,0.05861756205558777
1060,0.96875,0.9374999999941407,0.9999999999933333,0.9677419354276795,0.05104444921016693
1061,1.0,0.9999999999941177,0.9999999999941177,0.9999999999441178,0.003801393322646618
1062,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.027051012963056564
1063,1.0,0.9999999999928572,0.9999999999928572,0.9999999999428573,0.005909306928515434
1064,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.00239775818772614
